section,field,value
cost,labor_wk_X,2300.0
cost,labor_wk_Y,1700.0
cost,labor_wk_Z,0.0
cost,labor_wk_T,4000.0
cost,labor_cum_X,3500.0
cost,labor_cum_Y,2500.0
cost,labor_cum_Z,1600.0
cost,labor_cum_T,7600.0
cost,setup_wk_X,80.0
cost,setup_wk_Y,120.0
cost,setup_wk_Z,0.0
cost,setup_wk_T,200.0
cost,setup_cum_X,80.0
cost,setup_cum_Y,120.0
cost,setup_cum_Z,80.0
cost,setup_cum_T,280.0
cost,repair_wk_X,0.0
cost,repair_wk_Y,0.0
cost,repair_wk_Z,0.0
cost,repair_wk_T,0.0
cost,repair_cum_X,0.0
cost,repair_cum_Y,400.0
cost,repair_cum_Z,0.0
cost,repair_cum_T,400.0
cost,raw_materials_wk_X,8705.0
cost,raw_materials_wk_Y,2996.0
cost,raw_materials_wk_Z,0.0
cost,raw_materials_wk_T,11700.0
cost,raw_materials_cum_X,12431.0
cost,raw_materials_cum_Y,5635.0
cost,raw_materials_cum_Z,6086.0
cost,raw_materials_cum_T,24151.0
cost,purchased_parts_wk_X,1530.0
cost,purchased_parts_wk_Y,2215.0
cost,purchased_parts_wk_Z,0.0
cost,purchased_parts_wk_T,3745.0
cost,purchased_parts_cum_X,4080.0
cost,purchased_parts_cum_Y,5316.0
cost,purchased_parts_cum_Z,3225.0
cost,purchased_parts_cum_T,12621.0
cost,equipment_wk_X,4400.0
cost,equipment_wk_Y,3600.0
cost,equipment_wk_Z,0.0
cost,equipment_wk_T,8000.0
cost,equipment_cum_X,6800.0
cost,equipment_cum_Y,5200.0
cost,equipment_cum_Z,4000.0
cost,equipment_cum_T,16000.0
cost,parts_carry_wk_X,167.0
cost,parts_carry_wk_Y,20.0
cost,parts_carry_wk_Z,249.0
cost,parts_carry_wk_T,437.0
cost,parts_carry_cum_X,224.0
cost,parts_carry_cum_Y,64.0
cost,parts_carry_cum_Z,446.0
cost,parts_carry_cum_T,735.0
cost,products_carry_wk_X,400.0
cost,products_carry_wk_Y,605.0
cost,products_carry_wk_Z,553.0
cost,products_carry_wk_T,1558.0
cost,products_carry_cum_X,547.0
cost,products_carry_cum_Y,842.0
cost,products_carry_cum_Z,1106.0
cost,products_carry_cum_T,2496.0
cost,demand_penalty_wk_X,0.0
cost,demand_penalty_wk_Y,0.0
cost,demand_penalty_wk_Z,0.0
cost,demand_penalty_wk_T,0.0
cost,demand_penalty_cum_X,0.0
cost,demand_penalty_cum_Y,0.0
cost,demand_penalty_cum_Z,0.0
cost,demand_penalty_cum_T,0.0
cost,subtotal_wk_X,17582.0
cost,subtotal_wk_Y,11256.0
cost,subtotal_wk_Z,802.0
cost,subtotal_wk_T,29640.0
cost,subtotal_cum_X,27662.0
cost,subtotal_cum_Y,20078.0
cost,subtotal_cum_Z,16543.0
cost,subtotal_cum_T,64283.0
overhead_wk,quality,750.0
overhead_wk,maint,600.0
overhead_wk,training,1800.0
overhead_wk,hiring,600.0
overhead_wk,layoff,400.0
overhead_wk,rm_carry,353.0
overhead_wk,ordering,1200.0
overhead_wk,fixed,1500.0
overhead_wk,subtotal,7203.0
overhead_cum,quality,1500.0
overhead_cum,maint,1100.0
overhead_cum,training,2800.0
overhead_cum,hiring,3300.0
overhead_cum,layoff,400.0
overhead_cum,rm_carry,353.0
overhead_cum,ordering,4800.0
overhead_cum,fixed,3000.0
overhead_cum,subtotal,17253.0
total,weekly,36842.0
total,cumulative,81535.0
production,op3_X_sched,40.0
production,op3_X_productive,40.0
production,op3_X_production,2550.0
production,op3_X_rejects,455.0
production,op5_Y_sched,40.0
production,op5_Y_productive,40.0
production,op5_Y_production,1113.0
production,op5_Y_rejects,199.0
production,op2_X_sched,40.0
production,op2_X_productive,38.0
production,op2_X_production,1770.0
production,op2_X_rejects,316.0
production,op7_X_sched,40.0
production,op7_X_productive,40.0
production,op7_X_production,2150.0
production,op7_X_rejects,384.0
production,op4_X_sched,50.0
production,op4_X_productive,48.0
production,op4_X_production,1101.0
production,op4_X_rejects,196.0
production,op6_Y_sched,50.0
production,op6_Y_productive,34.2
production,op6_Y_production,807.0
production,op6_Y_rejects,144.0
production,op1_X_sched,50.0
production,op1_X_productive,50.0
production,op1_X_production,1426.0
production,op1_X_rejects,254.0
production,op26_Y_sched,50.0
production,op26_Y_productive,32.1
production,op26_Y_production,590.0
production,op26_Y_rejects,105.0
production,op18_Y_sched,20.0
production,op18_Y_productive,11.6
production,op18_Y_production,200.0
production,op18_Y_rejects,36.0
raw_materials,beginning,0.0
raw_materials,received,22000.0
raw_materials,used,10247.0
raw_materials,ending,11753.0
parts,X'_beginning,1139.0
parts,X'_received,600.0
parts,X'_used,4860.0
parts,X'_produced,6469.0
parts,X'_ending,3348.0
parts,Y'_beginning,492.0
parts,Y'_received,500.0
parts,Y'_used,1883.0
parts,Y'_produced,1113.0
parts,Y'_ending,223.0
parts,Z'_beginning,1517.0
parts,Z'_received,400.0
parts,Z'_used,0.0
parts,Z'_produced,0.0
parts,Z'_ending,1917.0
products,X_beginning,1472.0
products,X_produced,2527.0
products,X_demand,0.0
products,X_ending,3999.0
products,Y_beginning,1032.0
products,Y_produced,1598.0
products,Y_demand,0.0
products,Y_ending,2630.0
products,Z_beginning,1317.0
products,Z_produced,0.0
products,Z_demand,0.0
products,Z_ending,1317.0
demand,X_estimated,8127.0
demand,X_carryover,0.0
demand,X_total,8127.0
demand,Y_estimated,6720.0
demand,Y_carryover,0.0
demand,Y_total,6720.0
demand,Z_estimated,5147.0
demand,Z_carryover,0.0
demand,Z_total,5147.0
