identity,f1,f2,v1,v2,tag,dept,p1,p2
ID01,0.8508557677268982,0.6103542447090149,410,327,0x87,Parts,0xe2fe,0xe2ff
ID02,0.8074246048927307,0.5699745416641235,165,141,0x86,Assembly,0xe18a,0xe18b
ID03a,0.818823516368866,0.5833333134651184,304,212,0x87,Parts,0xe2b8,0xe2b9
ID03b,0.818823516368866,0.5490196347236633,336,388,0x86,Assembly,0xe0ea,0xe0eb
ID04,0.6397058963775635,0.6637036800384521,228,178,0x87,Parts,0xe070,0xe071
ID05,0.8093023300170898,0.5586034655570984,303,320,0x86,Assembly,0xe08a,0xe08b
ID06,0.7750557065010071,0.6170799136161804,373,383,0x86,Assembly,0xe248,0xe249
ID07,0.9666666388511658,0.5941644310951233,282,196,0x87,Parts,0xe2b2,0xe29f (NON-CONSECUTIVE)
ID09,0.9086161851882935,0.5551425218582153,264,239,0x86,Assembly,0xe12a,0xe12b
ID08,1.03125,0.6777609586715698,111,114,0x82,UNKNOWN (non-standard scheme),0xfe09,0x93f8 (NON-CONSECUTIVE)
ID10,1.0192307233810425,1.0144927501678467,85,135,0x84,UNKNOWN (non-standard scheme),0xf8a7,0x3e29 (NON-CONSECUTIVE)
