=== prosim.xtc: clean structured region 78 .. 912 (len 834), file size 18963, structured = 4.81% of file ===
Total clean records: 50
Tag census: 0x15=48  0x12=2

Full record dump with decoded floats:
  off=    78 tag=0x12 floats=[2.8005, 2.8004]
  off=    87 tag=0x15 floats=[2.8005, 2.8004, -8998.0000, 1948.0000]
  off=   104 tag=0x15 floats=[2.8005, 2.8004, 672.0000, -2098.0000]
  off=   121 tag=0x15 floats=[2.8005, 2.8004, -11063.0000, 1608.0000]
  off=   138 tag=0x15 floats=[0.8509, 0.6104, 10003.6797, 1999.4604]
  off=   155 tag=0x15 floats=[0.8074, 0.5700, 10423.5664, 2020.4937]
  off=   172 tag=0x15 floats=[0.8188, 0.5833, 10902.6846, 2003.4167]
  off=   189 tag=0x15 floats=[0.6397, 0.6637, 11363.7129, 1944.0386]
  off=   206 tag=0x15 floats=[2.8005, 2.8004, 2065.0000, 340.0000]
  off=   223 tag=0x15 floats=[0.8093, 0.5586, 10263.8604, 4350.8853]
  off=   240 tag=0x15 floats=[0.7751, 0.6171, 10731.8125, 4336.7354]
  off=   257 tag=0x15 floats=[0.9667, 0.5942, 11168.2666, 4343.8755]
  off=   274 tag=0x15 floats=[1.0312, 0.6778, 11521.7812, 4285.2480]
  off=   291 tag=0x15 floats=[0.9667, 0.5942, 12068.2666, 4343.8755]
  off=   308 tag=0x15 floats=[0.8509, 0.6104, 15599.6797, 3356.4604]
  off=   325 tag=0x15 floats=[0.8074, 0.5700, 16019.5664, 3377.4937]
  off=   342 tag=0x15 floats=[0.8188, 0.5833, 16498.6836, 3360.4167]
  off=   359 tag=0x15 floats=[0.6397, 0.6637, 16959.7129, 3301.0386]
  off=   376 tag=0x15 floats=[0.8093, 0.5586, 15293.8604, 4518.8853]
  off=   393 tag=0x15 floats=[0.7751, 0.6171, 15761.8125, 4504.7354]
  off=   410 tag=0x15 floats=[0.9667, 0.5942, 16198.2666, 4511.8755]
  off=   427 tag=0x15 floats=[1.0312, 0.6778, 16551.7812, 4453.2480]
  off=   444 tag=0x15 floats=[0.9667, 0.5942, 17098.2656, 4511.8755]
  off=   461 tag=0x15 floats=[0.8188, 0.5490, 10114.2939, 6511.1172]
  off=   478 tag=0x15 floats=[0.8093, 0.5586, 10582.8604, 6522.8857]
  off=   495 tag=0x15 floats=[0.8509, 0.6104, 11049.6797, 6502.4609]
  off=   512 tag=0x15 floats=[0.9086, 0.5551, 11435.4863, 6505.6299]
  off=   529 tag=0x15 floats=[0.7751, 0.6171, 11950.8125, 6508.7354]
  off=   546 tag=0x15 floats=[0.8188, 0.5490, 15327.2939, 5541.1172]
  off=   563 tag=0x15 floats=[0.8093, 0.5586, 15795.8604, 5552.8857]
  off=   580 tag=0x15 floats=[0.8509, 0.6104, 16262.6797, 5532.4609]
  off=   597 tag=0x15 floats=[0.9086, 0.5551, 16648.4863, 5535.6299]
  off=   614 tag=0x15 floats=[0.7751, 0.6171, 17163.8125, 5538.7354]
  off=   631 tag=0x15 floats=[0.8188, 0.5833, 16299.6846, 7081.4165]
  off=   648 tag=0x15 floats=[0.8093, 0.5586, 16733.8613, 7097.8853]
