file,identity,n_from,n_to,len_from,len_to,lcp,lcs,changed_a_len,changed_b_len,kind,changed_a_hex,changed_b_hex
a,ID03,16,23,307,518,0,2,305,516,OTHER,b002d40187e2b8e2b900263304b6589acd267329dcea67324de6c8ac51239125b2c48e45158a45e2d138945e2d1389436190b8541e0d038141e0c4120b0884c321b0e87c522a974bd389ca6533269354da6ea0506753b974be592d4ea769b4dd3299a552b251294522a86435028190582111881198c1259212f97133992572a26f361339909acd1379b26f3625f2e04b65825b2c098cc00095ca800087dcdb9c008ac510884a25138a4562d178d46d3299a71394ea769a4d52c96cba5f349ad028340a0cda6f3299cca67369bce27340a0cfa7f3c9ecda6f2e97cb25b2c96a753b4c262944a4994cd188ca291584426050381c090f8722f1647e3c93c989cce12d962572a4be5c4de6c4de6c4c6604be5c4de6c4b6588dc6889c4843e1c20f06081c088140c1148a888444221110023d1f,81c0a0b0483c1a0f0682c12070283c1a070281c0a07024160841e0c040e0400045c087e06ee09f97095ca896cb096cb10b85205038643621118f47d2e97a6d374ea769b4dd3a9da6935964b53e9fcc2629b4dd3299a492543a1e82c11118812b952472247638506812d9626f3612f97097cb80129940000974bc9e4f65d2f9c4e68543a2516753b9c4e6753b9a4d671399e4f6793d9d4ee6d37994ce5d2f984c6592d4d26a4b25a04aa560004b40090217170ad002840386e0eae0eb000041c1012d2e4c4c8acad1616215d5ebcbdb2b3aeaf5858ab2b56162b4b556568b2b31414223a3c085841131014340056d624e4a262058d80b5b42b6b057d7058d8015b58000059599696a565696566aaab2c2c458588aeaf1555626a6c49499151643439090a0818042c22262091901474428e88163602beb858d80b5b42c6c0b5b4163602beb96b68adac002beb815b580abaa04ece01474400000286800000086e14ee14f000055d501676456d60afae14f4c15b588b8a8988838244c4206010102848544448a8a915d5e2caccb0b12aaac58588545481696abcbdacad1696a2babc9a9b1494a1616205050800012b284ccc12b2844c4022a2c50508a4a516d6e2c2c459599595a5a5a96d6e5a5aaa2a55d5eacad2d2d45a5a8acad056568a0a113d3e26a6c949526264484888283083820028680143400afae054d4015754000002a6a0000
a,ID03,23,28,518,339,0,339,179,0,INSERTED_SPAN,81c0a0b0483c1a0f0682c12070283c1a070281c0a07024160841e0c040e0400045c087e06ee09f97095ca896cb096cb10b85205038643621118f47d2e97a6d374ea769b4dd3a9da6935964b53e9fcc2629b4dd3299a492543a1e82c11118812b952472247638506812d9626f3612f97097cb80129940000974bc9e4f65d2f9c4e68543a2516753b9c4e6753b9a4d671399e4f6793d9d4ee6d37994ce5d2f984c6592d4d26a4b25a04aa560004b40090217170a,
a,ID03,28,33,339,307,0,2,337,305,OTHER,d002840386e0eae0eb000041c1012d2e4c4c8acad1616215d5ebcbdb2b3aeaf5858ab2b56162b4b556568b2b31414223a3c085841131014340056d624e4a262058d80b5b42b6b057d7058d8015b58000059599696a565696566aaab2c2c458588aeaf1555626a6c49499151643439090a0818042c22262091901474428e88163602beb858d80b5b42c6c0b5b4163602beb96b68adac002beb815b580abaa04ece01474400000286800000086e14ee14f000055d501676456d60afae14f4c15b588b8a8988838244c4206010102848544448a8a915d5e2caccb0b12aaac58588545481696abcbdacad1696a2babc9a9b1494a1616205050800012b284ccc12b2844c4022a2c50508a4a516d6e2c2c459599595a5a5a96d6e5a5aaa2a55d5eacad2d2d45a5a8acad056568a0a113d3e26a6c949526264484888283083820028680143400afae054d4015754000002a6a0000,b002d40187e2b8e2b900263304b6589acd267329dcea67324de6c8ac51239125b2c48e45158a45e2d138945e2d1389436190b8541e0d038141e0c4120b0884c321b0e87c522a974bd389ca6533269354da6ea0506753b974be592d4ea769b4dd3299a552b251294522a86435028190582111881198c1259212f97133992572a26f361339909acd1379b26f3625f2e04b65825b2c098cc00095ca800087dcdb9c008ac510884a25138a4562d178d46d3299a71394ea769a4d52c96cba5f349ad028340a0cda6f3299cca67369bce27340a0cfa7f3c9ecda6f2e97cb25b2c96a753b4c262944a4994cd188ca291584426050381c090f8722f1647e3c93c989cce12d962572a4be5c4de6c4de6c4c6604be5c4de6c4b6588dc6889c4843e1c20f06081c088140c1148a888444221110023d1f
a,ID03,33,36,307,339,0,2,305,337,OTHER,b002d40187e2b8e2b900263304b6589acd267329dcea67324de6c8ac51239125b2c48e45158a45e2d138945e2d1389436190b8541e0d038141e0c4120b0884c321b0e87c522a974bd389ca6533269354da6ea0506753b974be592d4ea769b4dd3299a552b251294522a86435028190582111881198c1259212f97133992572a26f361339909acd1379b26f3625f2e04b65825b2c098cc00095ca800087dcdb9c008ac510884a25138a4562d178d46d3299a71394ea769a4d52c96cba5f349ad028340a0cda6f3299cca67369bce27340a0cfa7f3c9ecda6f2e97cb25b2c96a753b4c262944a4994cd188ca291584426050381c090f8722f1647e3c93c989cce12d962572a4be5c4de6c4de6c4c6604be5c4de6c4b6588dc6889c4843e1c20f06081c088140c1148a888444221110023d1f,d002840386e0eae0eb000041c1012d2e4c4c8acad1616215d5ebcbdb2b3aeaf5858ab2b56162b4b556568b2b31414223a3c085841131014340056d624e4a262058d80b5b42b6b057d7058d8015b58000059599696a565696566aaab2c2c458588aeaf1555626a6c49499151643439090a0818042c22262091901474428e88163602beb858d80b5b42c6c0b5b4163602beb96b68adac002beb815b580abaa04ece01474400000286800000086e14ee14f000055d501676456d60afae14f4c15b588b8a8988838244c4206010102848544448a8a915d5e2caccb0b12aaac58588545481696abcbdacad1696a2babc9a9b1494a1616205050800012b284ccc12b2844c4022a2c50508a4a516d6e2c2c459599595a5a5a96d6e5a5aaa2a55d5eacad2d2d45a5a8acad056568a0a113d3e26a6c949526264484888283083820028680143400afae054d4015754000002a6a0000
a,ID03,36,37,339,637,0,0,339,637,OTHER,d002840386e0eae0eb000041c1012d2e4c4c8acad1616215d5ebcbdb2b3aeaf5858ab2b56162b4b556568b2b31414223a3c085841131014340056d624e4a262058d80b5b42b6b057d7058d8015b58000059599696a565696566aaab2c2c458588aeaf1555626a6c49499151643439090a0818042c22262091901474428e88163602beb858d80b5b42c6c0b5b4163602beb96b68adac002beb815b580abaa04ece01474400000286800000086e14ee14f000055d501676456d60afae14f4c15b588b8a8988838244c4206010102848544448a8a915d5e2caccb0b12aaac58588545481696abcbdacad1696a2babc9a9b1494a1616205050800012b284ccc12b2844c4022a2c50508a4a516d6e2c2c459599595a5a5a96d6e5a5aaa2a55d5eacad2d2d45a5a8acad056568a0a113d3e26a6c949526264484888283083820028680143400afae054d4015754000002a6a00000017,b002d40187e2b8e2b900263304b6589acd267329dcea67324de6c8ac51239125b2c48e45158a45e2d138945e2d1389436190b8541e0d038141e0c4120b0884c321b0e87c522a974bd389ca6533269354da6ea0506753b974be592d4ea769b4dd3299a552b251294522a86435028190582111881198c1259212f97133992572a26f361339909acd1379b26f3625f2e04b65825b2c098cc00095ca800087dcdb9c008ac510884a25138a4562d178d46d3299a71394ea769a4d52c96cba5f349ad028340a0cda6f3299cca67369bce27340a0cfa7f3c9ecda6f2e97cb25b2c96a753b4c262944a4994cd188ca291584426050381c090f8722f1647e3c93c989cce12d962572a4be5c4de6c4de6c4c6604be5c4de6c4b6588dc6889c4843e1c20f06081c088140c1148a888444221110023d1f000d001a00090017000a463182fe2c8bf8b23d93b966e6c848712449adb6eb6ad9b372c082fe74bbf9d2f3378e26259adb6d22244815d6be1bbbd083f85bc1e3bbce7394ca52891121128089257bebe7ec0a2b1382fe2c4bf8b0d4cbe2e492b66dd082fe75d3f9d7d8cee5099be2e584f02410e0e98ce758ce75c7c3d2000a522f82fe3523f8d4b8ee773ab2d9191c9c4e21679dddddeeac330083fe0d4afe0d59c270a8aae0c6aaa2eaf3bbe7be3be37b993518ae18d62aa883f6b847879bbce66d245d4c4813089a9898999cdf9fe4dc480a401c83fd625fac662f3c38d5c5c4a51158d572c70aad0083fe0c88fe0c91a88a5562386b85631117779ef9df5e2084f0f72e1bf3c455394e1142308c6fa79318800a371a83fdb95fb726a2757acd5cdce633b5ce615883fe0ccefe0cd5a88c3158c6aa289dde779cef6084ee4210e5d6119ce28a2451be9e8c
a,ID03,37,39,637,307,306,0,331,1,OTHER,0d001a00090017000a463182fe2c8bf8b23d93b966e6c848712449adb6eb6ad9b372c082fe74bbf9d2f3378e26259adb6d22244815d6be1bbbd083f85bc1e3bbce7394ca52891121128089257bebe7ec0a2b1382fe2c4bf8b0d4cbe2e492b66dd082fe75d3f9d7d8cee5099be2e584f02410e0e98ce758ce75c7c3d2000a522f82fe3523f8d4b8ee773ab2d9191c9c4e21679dddddeeac330083fe0d4afe0d59c270a8aae0c6aaa2eaf3bbe7be3be37b993518ae18d62aa883f6b847879bbce66d245d4c4813089a9898999cdf9fe4dc480a401c83fd625fac662f3c38d5c5c4a51158d572c70aad0083fe0c88fe0c91a88a5562386b85631117779ef9df5e2084f0f72e1bf3c455394e1142308c6fa79318800a371a83fdb95fb726a2757acd5cdce633b5ce615883fe0ccefe0cd5a88c3158c6aa289dde779cef6084ee4210e5d6119ce28a2451be9e8c,17
a,ID04,7,17,237,231,230,1,6,0,SMALL_DELTA,0d001a000900,
a,ID04,17,49,231,804,230,0,1,574,OTHER,17,0d001a000901172e0aad017682fe03c3f80f3ddececec49899933339911b7cdbdab72dc89924912cb5ad6db36352ae5cb261922484596d5ebbddedeac78e78c083fe0e84fe0e9192a62222a3158d5555ce73d78e7799b8888c4562b188884b3379bbcae15155aac638570d60cdf1e3d7af87bebc7777118c70d63970e5c384692b65799bbe31730083f86b8a3d9bbb9cca66251313131704c4c4c2622444c4c26099812a944c01309826244c4913131280400bcf93ecc4c80a4d2b82fe0fe3f83ffcb3c3c67245bbdeddbb66caa54992784a83fe0de0fe0ddd59b7566662aab558c635c2396a2937bdef8f1eade484f1572610eadd19cd384e1184608c008ca702318e1d3cf9800a321584f8e9be3b384a58219ad9292942b7ec8082fe7c8bf9f1f4b9b9e5b64b8086c291f01012f330703070707237e8580c1c000aaf017482fe049bf81379e6cd6f3724ce6733c4f0c66dbdbdbb7b3b964c999324c59b3aebcadea6a54659272c938cc909db7b6f777bbb747abf073c4083fe1cd4fe1ce3c4b53a69c23444cde737bddeef732aa6ab18c5554445ce777c67394531aad635c35ad56173be3cf9f83d79f5e7c7378aae58e9cb870e15ad22632de739db9d4883f83ad1eae4bb994a648922613131313120890891131244c26261289898984c25120984c0089898933cfcbf2e400a4f2b83fc955f92c626b118c4555cddf1ceef7994c5635c386b962a171be77982feae8bfaba7cacdc65e333323261b2ef97beef96dbe1c98084f074e07670a318a28c11846118460423088273cbe01460
a,ID06,19,27,376,378,375,1,0,2,SMALL_DELTA,,0900
a,ID06,27,32,378,690,375,1,2,314,OTHER,0900,0d001a0017000a5c4582fe9f33fa7d193c5f83bf05e4e4f1ce64cc90c72dddbbbd9db75ddbab0c9dcb5d9b6decf37a82fe4353f90d355cb2c09b66caaa0e2e126e5016589372a935960083f79b4de739b99b894489131312224002242253094cdf7f6e500a311882fea25bfa899c93272f8bcbcd5bbdddda82fe4a2bf928f82c4b9bcd96e759a084ec430de29ceb19c669a33be7e6c6130a321383fe192afe192fa8cd66b78ce26b823083fe01c0fe01c5ae11c1d2b535399e3d77d485e0cc9b1f0a38e18e18639f0b97230a3a1d82fe9f93fa7eb4c7872fab19b2b5bb766ec082fe317bf8c5fcdcdcdcde771a9dcf399a786e0083f883dbe33537994cdcae26626e6f7d7cdb000a2b1282fea223fa88d8b04b22478083fd781faf06b55c27515357377cf685e04c8b1b1c08e3861863c1e6d1c00d011a010902
