file,array_idx,byte_offset,marker_hex,identity,f1,f2,f3,f4,prof_est_f1x1.088
prosim.xtc,0,87,0x15,SENTINEL_2.8,2.800453,2.800416,-8998.000,1948.000,3.0469
prosim.xtc,1,104,0x15,SENTINEL_2.8,2.800453,2.800416,672.000,-2098.000,3.0469
prosim.xtc,2,121,0x15,SENTINEL_2.8,2.800453,2.800416,-11063.000,1608.000,3.0469
prosim.xtc,3,138,0x15,ID01,0.850856,0.610354,10003.680,1999.460,0.9257
prosim.xtc,4,155,0x15,ID02,0.807425,0.569975,10423.566,2020.494,0.8785
prosim.xtc,5,172,0x15,ID03,0.818824,0.583333,10902.685,2003.417,0.8909
prosim.xtc,6,189,0x15,ID04,0.639706,0.663704,11363.713,1944.039,0.6960
prosim.xtc,7,206,0x15,SENTINEL_2.8,2.800453,2.800416,2065.000,340.000,3.0469
prosim.xtc,8,223,0x15,ID05,0.809302,0.558603,10263.860,4350.885,0.8805
prosim.xtc,9,240,0x15,ID06,0.775056,0.617080,10731.812,4336.735,0.8433
prosim.xtc,10,257,0x15,ID07,0.966667,0.594164,11168.267,4343.875,1.0517
prosim.xtc,11,274,0x15,ID08,1.031250,0.677761,11521.781,4285.248,1.1220
prosim.xtc,12,291,0x15,ID07,0.966667,0.594164,12068.267,4343.875,1.0517
prosim.xtc,13,308,0x15,ID01,0.850856,0.610354,15599.680,3356.460,0.9257
prosim.xtc,14,325,0x15,ID02,0.807425,0.569975,16019.566,3377.494,0.8785
prosim.xtc,15,342,0x15,ID03,0.818824,0.583333,16498.684,3360.417,0.8909
prosim.xtc,16,359,0x15,ID04,0.639706,0.663704,16959.713,3301.039,0.6960
prosim.xtc,17,376,0x15,ID05,0.809302,0.558603,15293.860,4518.885,0.8805
prosim.xtc,18,393,0x15,ID06,0.775056,0.617080,15761.812,4504.735,0.8433
prosim.xtc,19,410,0x15,ID07,0.966667,0.594164,16198.267,4511.875,1.0517
prosim.xtc,20,427,0x15,ID08,1.031250,0.677761,16551.781,4453.248,1.1220
prosim.xtc,21,444,0x15,ID07,0.966667,0.594164,17098.266,4511.875,1.0517
prosim.xtc,22,461,0x15,ID09,0.818824,0.549020,10114.294,6511.117,0.8909
prosim.xtc,23,478,0x15,ID05,0.809302,0.558603,10582.860,6522.886,0.8805
prosim.xtc,24,495,0x15,ID01,0.850856,0.610354,11049.680,6502.461,0.9257
prosim.xtc,25,512,0x15,ID10,0.908616,0.555143,11435.486,6505.630,0.9886
