file,week,block_index,index_in_block,global_index,offset,tag,identity,f1,f2,f3,f4
prosim.xtc,9,0,0,0,87,0x15,SENT,2.8004531860351562,2.8004164695739746,-8998.0,1948.0
prosim.xtc,9,0,1,1,104,0x15,SENT,2.8004531860351562,2.8004164695739746,672.0,-2098.0
prosim.xtc,9,0,2,2,121,0x15,SENT,2.8004531860351562,2.8004164695739746,-11063.0,1608.0
prosim.xtc,9,0,3,3,138,0x15,ID01,0.8508557677268982,0.6103542447090149,10003.6796875,1999.46044921875
prosim.xtc,9,0,4,4,155,0x15,ID02,0.8074246048927307,0.5699745416641235,10423.56640625,2020.49365234375
prosim.xtc,9,0,5,5,172,0x15,ID03,0.818823516368866,0.5833333134651184,10902.6845703125,2003.416748046875
prosim.xtc,9,0,6,6,189,0x15,ID04,0.6397058963775635,0.6637036800384521,11363.712890625,1944.03857421875
prosim.xtc,9,0,7,7,206,0x15,SENT,2.8004531860351562,2.8004164695739746,2065.0,340.0
prosim.xtc,9,0,8,8,223,0x15,ID05,0.8093023300170898,0.5586034655570984,10263.8603515625,4350.88525390625
prosim.xtc,9,0,9,9,240,0x15,ID06,0.7750557065010071,0.6170799136161804,10731.8125,4336.7353515625
prosim.xtc,9,0,10,10,257,0x15,ID07,0.9666666388511658,0.5941644310951233,11168.2666015625,4343.87548828125
prosim.xtc,9,0,11,11,274,0x15,ID08,1.03125,0.6777609586715698,11521.78125,4285.248046875
prosim.xtc,9,0,12,12,291,0x15,ID07,0.9666666388511658,0.5941644310951233,12068.2666015625,4343.87548828125
prosim.xtc,9,0,13,13,308,0x15,ID01,0.8508557677268982,0.6103542447090149,15599.6796875,3356.46044921875
prosim.xtc,9,0,14,14,325,0x15,ID02,0.8074246048927307,0.5699745416641235,16019.56640625,3377.49365234375
prosim.xtc,9,0,15,15,342,0x15,ID03,0.818823516368866,0.5833333134651184,16498.68359375,3360.416748046875
prosim.xtc,9,0,16,16,359,0x15,ID04,0.6397058963775635,0.6637036800384521,16959.712890625,3301.03857421875
prosim.xtc,9,0,17,17,376,0x15,ID05,0.8093023300170898,0.5586034655570984,15293.8603515625,4518.88525390625
prosim.xtc,9,0,18,18,393,0x15,ID06,0.7750557065010071,0.6170799136161804,15761.8125,4504.7353515625
prosim.xtc,9,0,19,19,410,0x15,ID07,0.9666666388511658,0.5941644310951233,16198.2666015625,4511.87548828125
prosim.xtc,9,0,20,20,427,0x15,ID08,1.03125,0.6777609586715698,16551.78125,4453.248046875
prosim.xtc,9,0,21,21,444,0x15,ID07,0.9666666388511658,0.5941644310951233,17098.265625,4511.87548828125
prosim.xtc,9,0,22,22,461,0x15,ID03,0.818823516368866,0.5490196347236633,10114.2939453125,6511.1171875
prosim.xtc,9,0,23,23,478,0x15,ID05,0.8093023300170898,0.5586034655570984,10582.8603515625,6522.8857421875
prosim.xtc,9,0,24,24,495,0x15,ID01,0.8508557677268982,0.6103542447090149,11049.6796875,6502.4609375
prosim.xtc,9,0,25,25,512,0x15,ID09,0.9086161851882935,0.5551425218582153,11435.486328125,6505.6298828125
prosim.xtc,9,0,26,26,529,0x15,ID06,0.7750557065010071,0.6170799136161804,11950.8125,6508.7353515625
